,frame,RBD_CA0:ROF,RBD_CA0:DNS,RBD_CA0:RMSD,RBD__2__CH_CA0,CH_CA0:ROF,CH_CA0:DNS,CH_CA0:RMSD,RBD__2__GLY10,GLY10:ROF,GLY10:DNS,GLY10:RMSD,RBD__2__GLY11,GLY11:ROF,GLY11:DNS,GLY11:RMSD,RBD__2__GLY12,GLY12:ROF,GLY12:DNS,GLY12:RMSD,RBD__2__GLY13,GLY13:ROF,GLY13:DNS,GLY13:RMSD,RBD__2__GLY14,GLY14:ROF,GLY14:DNS,GLY14:RMSD,RBD__2__GLY27,GLY27:ROF,GLY27:DNS,GLY27:RMSD,RBD__2__GLY30,GLY30:ROF,GLY30:DNS,GLY30:RMSD,RBD__2__GLY36,GLY36:ROF,GLY36:DNS,GLY36:RMSD,RBD__2__GLY4,GLY4:ROF,GLY4:DNS,GLY4:RMSD,RBD__2__GLY42,GLY42:ROF,GLY42:DNS,GLY42:RMSD,RBD__2__GLY43,GLY43:ROF,GLY43:DNS,GLY43:RMSD,RBD__2__GLY44,GLY44:ROF,GLY44:DNS,GLY44:RMSD,RBD__2__GLY56,GLY56:ROF,GLY56:DNS,GLY56:RMSD,RBD__2__GLY58,GLY58:ROF,GLY58:DNS,GLY58:RMSD,RBD__2__backbone0,backbone0:ROF,backbone0:DNS,backbone0:RMSD
10,frame_10,2.1120006878723614,0.83810866,0.1648021,8.816477963430641,2.4309201898483765,0.29604834,0.07098175,3.1494804522871425,2.105809240081099,0.50211793,0.17347848,2.219410791355348,2.9035616644059257,0.4513829,0.17250562,3.247106191274265,4.616566074333545,0.42287937,0.33393297,3.6541657349881613,2.145243470470682,0.22794378,0.22683015,3.9578677894321106,3.419840473591992,0.22794378,0.41583365,3.104573561872491,5.776073780280779,0.648037,0.33447936,2.07486357544584,3.912851511461728,0.4315767,0.16331562,3.762355211117513,1.730735441411552,0.42287937,0.15121022,2.515837970305854,3.55516928979116,0.71546,0.40382108,1.786834819468639,2.25850943885008,0.42287937,0.17253071,3.6819267763001813,3.040768664846122,0.4513829,0.41988352,2.9398616738691152,4.122685848966215,0.42287937,0.23309547,3.100483580801364,5.164580334120443,0.47916874,0.64232296,3.943069661447023,2.965473652445727,0.42287937,0.77252257,4.452542765244168,4.89519635269196,63.30287,0.1442092
11,frame_11,2.1268712627389714,0.83866525,0.18308176,8.75495939393409,2.4310074451420114,0.29624492,0.08632176,3.160002692562663,2.1484274552211606,0.5024513,0.16608071,2.215972725294287,2.826818081135773,0.4516826,0.19079812,3.267854526713117,4.579599522552854,0.42316017,0.37675372,3.618978245536128,2.147188484442287,0.22809513,0.2613079,3.9366872802311423,3.3942111207349006,0.22809513,0.39334348,3.0762924572313364,5.758370721390849,0.6484673,0.32707432,2.0887677626326133,3.867273759630098,0.43186325,0.16826002,3.7432494680159714,1.7648782829389622,0.42316017,0.2509739,2.456493771665358,3.511210632464662,0.71593505,0.38717458,1.833843597653644,2.111794600269436,0.42316017,0.15294603,3.544283499549493,3.006338768047417,0.4516826,0.35483977,2.8947798847849806,4.007756756697894,0.42316017,0.21681623,3.0386472145722956,5.13926064408835,0.4794869,0.70580465,3.8464220632732107,2.9759163072482995,0.42316017,0.8250042,4.405849936832911,4.899523761971835,63.344902,0.14000662
12,frame_12,2.1096726471835763,0.83849376,0.17182906,8.771982342674956,2.420087149400924,0.2961844,0.08546103,3.207128980254276,2.156593765637457,0.50234866,0.14916599,2.218339520129412,2.8018745022614056,0.45159033,0.17718571,3.320449640199384,4.611424625328968,0.4230737,0.39698726,3.6062596244726524,2.1774848529790964,0.22804852,0.2631385,3.9745814400177077,3.411384687286827,0.22804852,0.4039812,3.0766072940231153,5.787187238934615,0.6483348,0.2426972,2.1278415917775124,3.881450411607777,0.431775,0.14318483,3.694921666534498,1.6355700648120164,0.4230737,0.18702129,2.4998741070735253,3.540285605826058,0.7157887,0.45441827,1.8288037174764662,2.106058564757845,0.4230737,0.20191194,3.6792132394783845,2.944139596434244,0.45159033,0.44542882,2.8781608271518375,4.040708948946433,0.4230737,0.28047854,3.0884061618643983,5.089908207062559,0.47938892,0.6491036,3.7677668343691346,2.8974054751023464,0.4230737,0.82089823,4.421373849437643,4.904726819784158,63.33196,0.13677841
13,frame_13,2.1481482349971674,0.83829427,0.20395449,8.799380815388057,2.404289486257732,0.29611388,0.082497574,3.072498996323068,2.1452213805732296,0.5022291,0.18623775,2.1861653471353075,2.881225963900817,0.45148283,0.1695385,3.270905901206858,4.623821301659469,0.42297298,0.37770024,3.6054295642955503,2.128071069903143,0.22799423,0.28794748,3.957755621753437,3.4012965640679065,0.22799423,0.41389164,3.0878225509849195,5.768803819867695,0.6481804,0.28717157,2.0772449060436333,3.846341291045927,0.43167222,0.11672415,3.8058910335816765,1.6927424107141338,0.42297298,0.23135917,2.5227696568946234,3.6093203277019086,0.7156184,0.52370733,1.8395750905726493,2.1668264176070755,0.42297298,0.2200956,3.6117717871552855,3.0034458814340006,0.45148283,0.49384296,2.907565918044247,4.023735968991051,0.42297298,0.24936442,3.1120808532700557,5.13305613909908,0.47927484,0.6523951,3.7827507385422656,2.9160291810688337,0.42297298,0.78462356,4.419584527754741,4.899925250364617,63.316883,0.15881506
14,frame_14,2.124034552469543,0.83878917,0.21913695,8.80926739724235,2.411849537856449,0.2962887,0.08917266,3.124595330745236,2.089129747135168,0.5025256,0.22590208,2.24732900086633,2.898662279607536,0.45174935,0.17117988,3.36077173323218,4.618773222620995,0.4232227,0.35169703,3.5215035911621113,2.150621904728009,0.22812884,0.26621097,4.02355974040321,3.393339176497709,0.22812884,0.4325083,3.14459698429569,5.730675552505388,0.6485632,0.3293182,2.114050776013529,3.891929057877715,0.43192708,0.1336496,3.8645090594439964,1.7259818923786316,0.4232227,0.26502186,2.4937812057251616,3.548192531789266,0.7160409,0.50869006,1.8387699749703095,2.1935937895476965,0.4232227,0.1982571,3.664289828861634,2.986608762671955,0.45174935,0.46056783,2.9748733817372717,4.068947547813472,0.4232227,0.2750011,3.1432768200279178,5.002471188935886,0.4795578,0.605528,3.768557035020156,3.010277098034997,0.4232227,0.6627975,4.462220436768489,4.903666931225357,63.35427,0.16731817
15,frame_15,2.11613745722388,0.8396551,0.19583496,8.810784759409474,2.400667780752248,0.2965946,0.09241085,3.139860281436869,2.1407629090493767,0.5030443,0.13433327,2.2365928197341596,2.8578023203225005,0.45221573,0.22401713,3.402798593439896,4.567261404169717,0.42365962,0.4276764,3.614208315205551,2.1630032971888093,0.22836435,0.2985513,4.026685890387693,3.3960433799092997,0.22836435,0.4899349,3.144860939892611,5.764203165530495,0.6492327,0.36999303,2.117790722211114,3.880826899294638,0.43237296,0.17066117,3.8855794553067255,1.7193485606273025,0.42365962,0.2951223,2.5126704711006855,3.551390331691376,0.71678007,0.5449901,1.8423495005005721,2.107930996393956,0.42365962,0.2204887,3.659216648470474,2.9325867030274484,0.45221573,0.52890295,3.0022578252902776,4.0955417271995,0.42365962,0.3224869,3.2267791732593234,4.8244883658522255,0.48005283,0.70693505,3.8643330221040655,3.1169792263465,0.42365962,0.6869938,4.466285410017598,4.903313817453189,63.419666,0.16577539
16,frame_16,2.129035953808766,0.8391502,0.24716353,8.814201454785419,2.40584057286191,0.29641625,0.08729718,3.1205437372326585,2.107976817111671,0.5027419,0.1750037,2.1871488147894262,2.899721484979388,0.4519438,0.18551365,3.2835082811442526,4.699926725409896,0.42340487,0.37304175,3.5696639052609553,2.185862481743873,0.22822702,0.31046787,3.9944698054063634,3.3336405025395788,0.22822702,0.49078715,3.0542248109231527,5.815959770530093,0.6488423,0.36457175,2.0646939851083514,3.919677184682424,0.43211302,0.16634972,3.7951080491925544,1.6805224803078085,0.42340487,0.24771677,2.484123671385597,3.5958787041364677,0.71634907,0.45024627,1.7956188672114044,2.1439720003931413,0.42340487,0.15103859,3.540789724929213,3.064933092205312,0.4519438,0.47499326,2.996704870490371,4.074932629812367,0.42340487,0.29451156,3.15320625447796,4.977294932957123,0.47976422,0.58679867,3.8390005051325904,3.0085263363822032,0.42340487,0.64652157,4.456815733364099,4.907309233492026,63.381535,0.16549589
17,frame_17,2.1353453704000644,0.838291,0.19041035,8.793974212763922,2.407736004542772,0.29611272,0.09178546,3.0879565900556813,2.128361772400804,0.50222707,0.17925355,2.1337072014548157,2.873457071770795,0.4514811,0.21886677,3.278568982781736,4.672831168294666,0.42297137,0.3989274,3.597773982392486,2.1253306228998823,0.22799334,0.30538192,3.9927141410457265,3.319506769854604,0.22799334,0.47054192,3.0625096971726573,5.753508054051223,0.648178,0.37074947,2.0351157075182553,3.903365475505704,0.43167055,0.18158276,3.779404364849283,1.7295914903861702,0.42297137,0.28438467,2.4516095407964484,3.697887394987733,0.71561563,0.55474985,1.771337262520447,1.9968191240706097,0.42297137,0.22921069,3.4641638222938833,3.0810379900385136,0.4514811,0.5751675,2.946643531852298,4.072445710223106,0.42297137,0.26397118,3.121935735232005,5.011590142113933,0.47927296,0.6692953,3.885827962727609,2.9485127411133325,0.42297137,0.6136979,4.449766878450351,4.905872842453908,63.31664,0.1517033
18,frame_18,2.113435800487777,0.8390807,0.1577836,8.819612894219198,2.4268986799805834,0.2963917,0.08268493,3.162854066066759,2.129420795036697,0.50270027,0.19181107,2.182064622364458,2.870457826932476,0.45190638,0.21383135,3.3471017464890873,4.660191437811435,0.42336982,0.43950436,3.6367134433337513,2.146964469820266,0.22820814,0.33243945,4.040462685341003,3.342400447633941,0.22820814,0.42136407,3.1085424287722083,5.74251232230347,0.64878863,0.35555142,2.0707233871915425,3.893647186363253,0.43207723,0.21518332,3.801142995721497,1.7444168055693845,0.42336982,0.28971237,2.4233358610902798,3.6650518406425374,0.71628976,0.58100665,1.7292478162393226,2.012313006414505,0.42336982,0.24306168,3.3468800382231585,3.094718200931637,0.45190638,0.5441011,2.919447533937041,4.073235475968598,0.42336982,0.27590957,3.1015497736175535,4.962978969663209,0.4797245,0.7310162,3.8191467710764115,2.8828166894442915,0.42336982,0.5029803,4.451449228798385,4.907494937911176,63.37629,0.15970169
19,frame_19,2.1127505311539267,0.83971417,0.1291131,8.815249472613973,2.4074196618080013,0.29661545,0.08316697,3.1716262868019034,2.15077926875484,0.5030798,0.25454023,2.1871061659680917,2.8814005224481574,0.45224756,0.22595713,3.330479210779346,4.60931347304838,0.42368942,0.44886196,3.5649432640961947,2.123454053637833,0.22838041,0.3405274,4.1650989955235005,3.373150815070103,0.22838041,0.4903978,3.1152921762784223,5.789642168413159,0.6492784,0.3698037,2.0837066214450215,3.8963652497237806,0.43240342,0.22987795,3.905776237110375,1.7274865221238516,0.42368942,0.26300624,2.4533144924024937,3.6241751463162175,0.71683055,0.54054374,1.6992662276472974,2.0416207741527104,0.42368942,0.24674393,3.3854468945834784,3.06961053684688,0.45224756,0.5906905,2.9822154158318788,4.084480317559499,0.42368942,0.27452907,3.1657467284424157,5.015324434856578,0.48008665,0.79525095,4.043911181476981,2.9381505441133418,0.42368942,0.66028684,4.460268654846454,4.901681892588794,63.424133,0.16712438
